HGT1-5,,HGT1-4,,HGT2-3,,HGT2-4,
day,h,day,h,day,h,day,h
0,3.00000000000001,0,3,0,3,0,3.00000000000001
1,3.3035740527808,1,3.10323570203354,1,2.90036137784471,1,2.70415687393701
2,3.60702238922166,2,3.20652865828229,2,2.80070039362646,2,2.40809210689895
3,3.91068490264407,3,3.30990882857781,3,2.70095766242135,3,2.1117800806742
4,4.21469824884774,4,3.41342343933781,4,2.60108868555079,4,1.81510577181642
5,4.51871159505142,5,3.51693805009782,5,2.50121970868023,5,1.51843146295865
6,4.82266445252597,6,3.62058387239952,6,2.40122813371412,6,1.22167792198105
7,5.12655371928531,7,3.72436763503992,7,2.30110767357066,7,0.924841085698002
8,5.43044298604464,8,3.82815139768032,8,2.20098721342719,8,0.628004249414951
9,5.73433225280397,9,3.93193516032073,9,2.10086675328372,9,0.3311674131319
10,6.0382215195633,10,4.03571892296113,10,2.00074629314025,10,0.034330576848849
11,6.34211078632264,11,4.13950268560153,11,1.90062583299678,11,-0.262506259434203
12,6.64562555806023,12,4.24338823080254,12,1.8004098308111,12,-0.559185926659026
13,6.94909285859789,13,4.34728667801828,13,1.70018171766231,13,-0.855845671045482
14,7.25253293862709,14,4.45118977777053,14,1.5999492240946,14,-1.15249146777297
15,7.5556891476396,15,4.55514139683216,15,1.49967104901519,15,-1.44899181034271
16,7.85872033867687,16,4.65911063847951,16,1.39937625741756,16,-1.74542462332524
17,8.14417217391457,17,4.75723924289401,17,1.30471977631246,17,-2.02485197291036
18,8.16028132301769,18,4.76391621743472,18,1.29832817124628,18,-2.04191822552948
19,8.15856936621918,19,4.76471013949052,19,1.29758320066976,19,-2.04152736420899
20,8.15596935530555,20,4.76545604271047,20,1.29688293090907,20,-2.04047000147321
21,8.15150556436749,21,4.76611729138854,21,1.29626160366121,21,-2.03807883399447
22,8.14704177342943,22,4.76677854006661,22,1.29564027641336,22,-2.03568766651573
23,8.14017504060143,23,4.76738287413766,23,1.29507150028425,23,-2.03163725769378
24,8.13005726874588,24,4.76791020609335,24,1.29457382272755,24,-2.02534199293692
